Group	Species	Classification	sppsOnBins	N	N_Institutes	taxIDs	BINs	Phylum	Order	Family	Genus
Actinopterygii	Brama japonica	E**	Brama orcini,Brama japonica	9	5	34007	BOLD:AAD2228,BOLD:AAD7806	Chordata	Perciformes	Bramidae	Brama
Actinopterygii	Bregmaceros bathymaster	B	Bregmaceros bathymaster	5	1	461698	BOLD:ABY0804	Chordata	Gadiformes	Bregmacerotidae	Bregmaceros
Actinopterygii	Brotula clarkae	D	Brotula clarkae	1	1	399260	BOLD:ABA7631	Chordata	Ophidiiformes	Ophidiidae	Brotula
Actinopterygii	Calamus brachysomus	A	Calamus brachysomus	4	3	11684	BOLD:AAD5682	Chordata	Perciformes	Sparidae	Calamus
Actinopterygii	Calliclinus geniguttatus	D	Scartichthys variolatus,Helcogrammoides cunninghami,Hypleurochilus fissicornis,Calliclinus geniguttatus,Helcogrammoides chilensis,Scartichthys gigas,Hypleurochilus geminatus	3	1	124043	BOLD:AAB4315,BOLD:AAB4318	Chordata	Perciformes	Labrisomidae	Calliclinus
Actinopterygii	Calotomus carolinus	E*	Calotomus carolinus,Calotomus spinidens	21	7	89373	BOLD:ADI4703	Chordata	Perciformes	Scaridae	Calotomus
Actinopterygii	Cantherhines dumerilii	E**	Amanses scopas,Cantherhines pardalis,Cantherhines dumerilii,Cantherhines sandwichiensis,Thamnaconus striatus,Cantherhines pullus	14	7	89248	BOLD:AAB9564,BOLD:AAC9668	Chordata	Tetraodontiformes	Monacanthidae	Cantherhines
Actinopterygii	Canthidermis maculata	E*	Canthidermis maculata,Canthidermis sufflamen,Canthidermis macrolepis	11	5	88562	BOLD:AAC9669	Chordata	Tetraodontiformes	Balistidae	Canthidermis
Actinopterygii	Canthigaster amboinensis	A	Canthigaster amboinensis	13	6	84588	BOLD:AAE3058	Chordata	Tetraodontiformes	Tetraodontidae	Canthigaster
Actinopterygii	Canthigaster janthinoptera	E**	Canthigaster solandri,Canthigaster janthinoptera,Canthigaster jactator,Canthigaster compressa,Canthigaster criobe	19	7	10974	BOLD:AAD2223,BOLD:ACC1190	Chordata	Tetraodontiformes	Tetraodontidae	Canthigaster
Actinopterygii	Canthigaster punctatissima	D		29	3	10973		Chordata	Tetraodontiformes	Tetraodontidae	Canthigaster
Actinopterygii	Canthigaster valentini	A	Canthigaster valentini	16	9	10975	BOLD:AAC9721	Chordata	Tetraodontiformes	Tetraodontidae	Canthigaster
Actinopterygii	Caprodon longimanus	E*	Caprodon krasyukovae,Caprodon longimanus,Caprodon schlegelii	4	3	11187	BOLD:AAB0653	Chordata	Perciformes	Serranidae	Caprodon
Actinopterygii	Carangoides orthogrammus	A	Carangoides orthogrammus	4	4	89317	BOLD:AAI6631	Chordata	Perciformes	Carangidae	Carangoides
Actinopterygii	Carangoides otrynter	B	Carangoides otrynter	10	1	601384	BOLD:ABA1949	Chordata	Perciformes	Carangidae	Carangoides
Actinopterygii	Caranx caballus	D	Caranx caballus,Caranx crysos	2	1	11567	BOLD:AAC4853	Chordata	Perciformes	Carangidae	Caranx
Actinopterygii	Caranx caninus	A	Caranx caninus	6	2	11566	BOLD:AAE2948	Chordata	Perciformes	Carangidae	Caranx
Actinopterygii	Caranx hippos	E**	Caranx hippos,Caranx sexfasciatus,Caranx tille,Caranx ignobilis,Alepes melanoptera,Alepes vari	16	5	68578	BOLD:ABZ1189,BOLD:AAB9930,BOLD:AAB5775,BOLD:AAB0587	Chordata	Perciformes	Carangidae	Caranx
Actinopterygii	Caranx lugubris	A	Caranx lugubris	6	5	89421	BOLD:AAI6630	Chordata	Perciformes	Carangidae	Caranx
Actinopterygii	Caranx melampygus	E**	Carangoides bartholomaei,Caranx heberi,Caranx melampygus,Caranx papuensis,Caranx latus,Caranx sexfasciatus	23	9	11569	BOLD:AAB0585,BOLD:AAB0584	Chordata	Perciformes	Carangidae	Caranx
Actinopterygii	Caranx ruber	A	Caranx ruber	14	3	68573	BOLD:AAC0911	Chordata	Perciformes	Carangidae	Caranx
Actinopterygii	Caranx sexfasciatus	E**	Caranx tille,Selaroides leptolepis,Caranx papuensis,Caranx sexfasciatus,Caranx heberi,Caranx ignobilis,Caranx melampygus,Caranx latus,Carangoides bartholomaei	62	14	11570	BOLD:AAB0587,BOLD:AAB0585,BOLD:ACF4541,BOLD:AAB0584,BOLD:ACS0288,BOLD:AAC0331	Chordata	Perciformes	Carangidae	Caranx
Actinopterygii	Caranx vinctus	D	Caranx vinctus	1	1	779269	BOLD:AAI6632	Chordata	Perciformes	Carangidae	Caranx
Actinopterygii	Cataetyx rubrirostris	D	Cataetyx rubrirostris	3	2	30331	BOLD:AAF1558	Chordata	Ophidiiformes	Bythitidae	Cataetyx
Actinopterygii	Catostomus commersonii	E*	Catostomus commersonii,Catostomus catostomus	114	9	34640	BOLD:AAA5037	Chordata	Cypriniformes	Catostomidae	Catostomus
Actinopterygii	Caulolatilus princeps	D	Caulolatilus princeps	3	2	11096	BOLD:AAI7278	Chordata	Perciformes	Malacanthidae	Caulolatilus
Actinopterygii	Caulolatilus princeps	D	Caulolatilus princeps	3	2	11096	BOLD:AAI7278	Chordata	Perciformes	Malacanthidae	Caulolatilus
Actinopterygii	Caulolatilus princeps	D	Caulolatilus princeps	3	2	11096	BOLD:AAI7278	Chordata	Perciformes	Malacanthidae	Caulolatilus
Actinopterygii	Caulolatilus princeps	D	Caulolatilus princeps	3	2	11096	BOLD:AAI7278	Chordata	Perciformes	Malacanthidae	Caulolatilus
Actinopterygii	Centrophryne spinulosa	D		3	2	503541		Chordata	Lophiiformes	Centrophrynidae	Centrophryne
Actinopterygii	Centropomus robalito	D		11	5	170421		Chordata	Perciformes	Centropomidae	Centropomus
Actinopterygii	Centropomus undecimalis	A	Centropomus undecimalis	20	4	52759	BOLD:AAC7122	Chordata	Perciformes	Centropomidae	Centropomus
Actinopterygii	Centropomus viridis	D		10	5	170420		Chordata	Perciformes	Centropomidae	Centropomus
Actinopterygii	Ceratoscopelus warmingii	E**	Ceratoscopelus maderensis,Ceratoscopelus warmingii	37	9	52849	BOLD:AAC3132,BOLD:AAC3131,BOLD:AAG2569,BOLD:AAT9400,BOLD:ABZ7990,BOLD:AAC2875,BOLD:AAC3129,BOLD:AAC3130,BOLD:AAT9399	Chordata	Myctophiformes	Myctophidae	Ceratoscopelus
Actinopterygii	Cerdale ionthas	D	Cerdale ionthas	1	1	156264	BOLD:AAZ6311	Chordata	Perciformes	Microdesmidae	Cerdale
Actinopterygii	Chaenomugil proboscideus	D	Chaenomugil proboscideus	2	1	493847	BOLD:ABW4600	Chordata	Perciformes	Mugilidae	Chaenomugil
